Date,Calgary CER Unemployment rate (%),Alberta Unemployment Rate (%),Canada Unemployment rate (%),Calgary (CMA) Average Hourly Wage Rate ($),City of Calgary Building Permits Residential Value ($),City of Calgary Building Permits Non-Residential Value ($),Calgary (City) Total Housing Starts (units),Calgary (CMA) Total Housing Starts (units),Calgary (CER) Retail Sales ($billions),Calgary (CMA) Inflation Rate (%change)
2020-01,0.07,0.07,0.06,32.71,132526371,71384120,589,642,2.76,0.01
2020-02,0.07,0.07,0.06,33.45,278319724.7,264586317.6,1104,1288,5.58,0.01
2020-03,0.08,0.08,0.06,33.67,429516209.4,323913790.4,1918,2232,7.91,0
2020-04,0.08,0.08,0.07,33.9,615134360.6,434864939.2,2399,2807,9.85,0
2020-05,0.09,0.09,0.08,34.2,771296119.9,512111881.9,3039,3528,12.29,0
2020-06,0.1,0.1,0.09,34.47,995558180.1,560584547.9,3327,3953,15.15,0.01
2020-07,0.11,0.11,0.09,34.61,1207295291,673846653.9,3977,4690,18.08,0.01
2020-08,0.11,0.11,0.1,34.67,1443081617,770178134.8,4618,5426,20.85,0
2020-09,0.11,0.11,0.1,34.7,1659142680,875276500.9,5539,6461,23.92,0.01
2020-10,0.12,0.11,0.1,34.73,1854769289,1005140447,6408,7443,26.98,0.01
2020-11,0.11,0.11,0.1,34.74,2077595551,1067102738,7235,8395,30.05,0.01
2020-12,0.11,0.11,0.09,34.73,2304011067,1113540988,7939,9235,33.09,0.01
2021-01,0.1,0.11,0.09,34.6,206940210.1,87912540.63,1005,1122,3.07,0.01
2021-02,0.11,0.11,0.09,34.85,438185163.9,525040459.6,1504,1764,6.16,0.01
2021-03,0.11,0.11,0.09,34.87,750052550.7,637216843,2406,2822,9.23,0.01
2021-04,0.1,0.1,0.09,34.85,1051126376,744226053.8,3511,4121,12.29,0.01
2021-05,0.1,0.1,0.09,34.76,1358129208,893018571.8,4786,5702,15.25,0.02
2021-06,0.1,0.1,0.09,34.65,1736451952,1577742619,5718,6875,18.28,0.02
2021-07,0.1,0.1,0.08,34.59,2120298819,1629988866,6943,8279,21.24,0.02
2021-08,0.1,0.1,0.08,34.54,2380146709,1716900927,7855,9389,24.22,0.03
2021-09,0.1,0.09,0.08,34.56,2692677261,1762900642,8684,10415,27.29,0.03
2021-10,0.1,0.09,0.08,34.57,2984055287,1855318467,9748,11670,30.52,0.03
2021-11,0.09,0.09,0.08,34.61,3304797187,1931964499,11766,13862,33.76,0.03
2021-12,0.09,0.09,0.08,34.65,3576435879,2043665104,12722,15017,36.89,0.03
2022-01,0.08,0.07,0.06,35.2,287862666.4,81851763.83,465,561,3.15,0.05
2022-02,0.08,0.07,0.06,35.15,534428932.2,209134726.8,1476,1720,6.36,0.06
2022-03,0.08,0.07,0.06,35.2,986597310.7,357444808.6,2566,2962,9.62,0.06
2022-04,0.07,0.07,0.06,35.3,1357492297,477658258.5,3865,4473,12.89,0.07
2022-05,0.07,0.07,0.06,35.46,1713641556,606388389.5,5442,6242,16.33,0.07
2022-06,0.07,0.07,0.06,35.53,2149390757,811613891.1,7108,8125,19.78,0.07
2022-07,0.07,0.06,0.06,35.53,2470044721,918884847.6,8738,10004,23.37,0.07
2022-08,0.06,0.06,0.06,35.51,2805099096,1211458912,9546,11186,26.88,0.07
2022-09,0.06,0.06,0.06,35.54,3092135463,1464524772,10938,12865,30.37,0.07
2022-10,0.06,0.06,0.05,35.64,3425587526,1546784049,12365,14553,33.93,0.07
2022-11,0.06,0.06,0.05,35.75,3723783643,1627895619,13866,16226,37.47,0.07
2022-12,0.06,0.06,0.05,35.87,3992395177,1705261604,14767,17306,41.03,0.07
2023-01,0.06,0.06,0.05,36.8,245348077.4,78967764.61,1098,1295,3.69,0.06
2023-02,0.07,0.06,0.05,36.65,518895212.1,204329893.4,2130,2533,7.15,0.05
2023-03,0.07,0.06,0.05,36.5,861490502.8,344379613.3,3067,3627,10.53,0.04
2023-04,0.07,0.06,0.05,36.45,1274858957,454109010.5,3971,4791,13.92,0.05
2023-05,0.06,0.06,0.05,36.38,1758291671,560697937.5,5807,6867,17.41,0.04
2023-06,0.06,0.06,0.05,36.32,2153754393,643903364.2,6832,8106,20.83,0.04
2023-07,0.06,0.06,0.05,36.23,2485902424,767247528.6,8276,9727,24.2,0.04
2023-08,0.06,0.06,0.05,36.21,3047486039,979052815.8,9762,11407,27.64,0.04
2023-09,0.06,0.06,0.05,36.28,3394229378,1155956222,12248,14141,31.08,0.04
2023-10,0.06,0.06,0.05,36.38,3762306030,1246156956,13889,16278,34.6,0.04
2023-11,0.06,0.06,0.05,36.47,4118014907,1409258242,15438,18086,38.06,0.04
2023-12,0.06,0.06,0.05,36.51,4453366350,1516142508,16679,19579,41.48,0.04
2024-01,0.06,0.06,0.06,36.9,329704666,128032188.6,1491,1951,44.94,0.04
2024-02,0.06,0.06,0.06,36.95,801495328.9,316215884.4,2819,3625,48.29,0.05
